V1,V2,V3,V4,V5,V6,V7
0.316632456,1.597709947,-0.02328194,-0.789103646,-1.861283634,0.199406076,-0.387435245
-0.857259571,0.235294949,-1.45571921,0.033196722,2.169818226,0.380370049,-0.168709898
-1.104561234,-1.517228605,0.502619421,0.611998424,1.849950966,1.085993676,1.743857238
-0.236914209,1.036483754,1.110957219,0.406561114,0.394068094,-0.798022571,-0.088302801
-0.393362853,0.911963179,1.179083913,-0.55692229,0.782808976,-0.078013636,0.873449844
-0.421475499,-0.767473195,0.758560211,-1.526632766,0.440440186,0.406420064,0.273173705
0.911390386,-0.743989949,-0.242953518,-1.598298843,-1.174675029,-0.51917852,0.270842321
-0.571465645,-0.747020537,-0.63838231,0.183097581,0.168451458,-1.183287595,0.867316785
-0.008475263,0.131696153,-1.114024656,-1.312849398,1.472501389,0.320683286,1.69463878
0.882263821,1.29142424,-0.453813458,-0.026618613,0.504892828,-0.207559381,-1.654400802
-1.199220905,-0.315219454,-1.418151635,-2.221791222,-1.480701993,-0.11394048,0.220044533
0.942386865,0.159790198,-0.735545348,0.219538781,0.351396688,0.296472915,-0.282773797
-0.379164849,-0.486870473,-1.044434625,0.413976478,-0.131019547,-1.404934499,-1.579459986
0.936142284,-0.31028839,-0.842824722,-0.447083753,0.671122328,-0.023213022,0.18484153
-0.06002377,-0.375999417,-0.880150812,-1.694818011,-1.873929791,0.148764174,-0.325584271
-2.566401683,0.026624422,0.493496464,-1.053129655,-0.57439268,0.136962056,0.307301477
-0.562669671,-0.280751317,-0.066057222,-0.311190714,0.571537753,-1.951914059,0.103641028
-0.317656222,0.517391143,-1.406731705,0.498184514,-0.302850824,1.095444036,0.241893692
2.089282394,2.33009938,0.838498194,0.002148276,-0.245114993,-0.900115961,0.987909108
0.526895396,-0.258789394,-1.502296777,-1.028366813,-0.006254147,-0.07577747,-0.655094921
-0.847703872,-0.243761048,0.019542093,1.202153284,0.017927245,-1.352405912,-0.505279598
-0.394211695,-0.379699589,-0.095310812,2.972803778,0.95813643,2.366045826,1.438234506
-2.075393399,-0.485674398,0.727746986,0.168566252,-0.482968885,-0.739408171,-1.15001659
0.000747745,-0.489469767,-0.452361475,-0.448095406,-0.968383282,1.1239436,-0.703333903
-0.886659204,-0.199666507,0.208612528,-0.329525069,0.771838978,0.68265075,-1.504408294
1.336493037,1.713631324,0.721705241,-0.583514128,0.039468154,0.786372075,1.109756252
