V1,V2,V3,V4,V5,V6,V7
-0.648973264,0.706161222,1.244974383,1.422879343,-0.34410193,-1.739179933,-1.557148921
-0.161109907,2.146093122,1.344198437,1.204782418,0.617172843,-0.83239717,-0.517147323
-1.378959577,-1.411072912,-2.496746991,-1.795180376,-0.041306983,0.066739872,-0.441218949
-0.465300084,0.305141502,-0.016048834,2.622126009,2.472370634,2.377403628,1.064106868
-0.525981195,-0.059633723,-0.807769318,-0.538013769,-0.828866322,-0.106889562,-0.111368244
1.597726879,1.306367323,-0.260158462,-1.185401172,1.070974185,-1.589983075,-1.564980179
0.052247365,0.967932982,-0.241832378,-0.836317577,-0.704605907,2.772113365,-1.240251495
0.385665825,-0.978833634,0.179340864,1.476023553,0.733872271,1.154068946,2.369127293
-0.257961594,1.282933936,2.378866823,0.535169702,0.557279047,0.003683415,-0.385279481
0.349207046,0.103130464,0.124419546,0.773281028,-0.841429874,-0.132105665,1.310399032
-0.157984194,0.385873668,-0.966281204,-1.30466898,0.666135484,-0.471253592,-0.108266641
-0.665324846,-1.147846755,-0.694786498,1.619030206,-0.701431635,0.387479839,-1.299537491
2.456550797,1.738966005,1.369366375,0.19598993,0.060715706,-0.854406347,-1.733154847
-0.402699814,-1.913366051,-0.457335367,-1.123770743,-1.479135357,0.0327216,0.915638889
0.2443524,-2.776458678,-1.844196537,-1.674482108,-0.805160658,0.658002857,-0.767851274
-1.192217286,-0.163209437,-0.803431338,0.78312041,-0.222376324,0.250424825,0.576132376
0.545806085,-0.800427629,0.322508522,-0.163581315,-0.200884284,0.424892809,2.737371276
0.324583163,0.286822942,-0.373819132,0.573780616,1.041211264,-0.369534186,0.247914324
-0.038230444,-0.746987515,0.591044788,-1.653524172,-0.275445087,0.05424211,-0.459260907
-0.040272258,-0.315836808,0.13556292,0.275175852,0.973247326,1.376294885,0.656343075
-2.604453121,-0.513432712,0.582973075,-0.266560458,0.421371191,0.818158489,1.225503066
0.790004463,0.772871595,0.170196381,1.581224674,-1.012660431,-0.413537249,-0.429267488
1.220285249,0.075251173,-1.357297822,-0.846953875,-0.452412587,0.150417056,-1.430087802
0.247068637,-0.184843902,-0.330173749,-1.778914742,-0.870499457,-0.361972331,-1.426977372
-0.419666608,0.426325089,1.273399098,-1.504334145,0.424987697,-1.727152767,-0.167885712
-0.05152413,-0.367177475,-0.80559465,-1.221912144,0.304340955,0.084514852,0.030050503
-0.850951108,-0.544832153,-1.052959979,0.338348883,-0.632825271,0.741861481,-0.864741776
-0.935949508,-0.521778485,-0.111911535,-0.701634979,-0.397436541,0.818248505,-0.705614032
0.907633098,-0.748941771,-2.752075606,-1.497442287,-0.993310365,-1.356606082,-0.145773017
0.943556801,1.062005094,-0.798805019,0.376892049,-0.064061757,0.891691782,0.363193794
-0.444509006,-0.682119887,-1.845550419,-1.207171322,-0.502422071,0.676619723,0.130510536
-1.698823733,-1.681091723,-0.229308021,-0.520278487,0.12011796,-1.414672173,-0.266816766
0.935520402,-1.494928621,-0.613576321,0.061026515,-0.200780186,-0.24862012,-0.624948941
-1.090757268,-2.549245201,-1.58065904,0.23216862,0.709151183,0.725873656,1.343366031
-0.863336917,0.105919051,-0.260891864,-0.229483644,-0.975701259,-0.66832799,0.061103941
