V1,V2,V3,V4,V5,V6,V7
-2.501509008,-0.866371345,-0.446351897,-1.098953879,-0.891143917,-1.040684373,-0.080159647
0.721914172,-0.179485854,0.20987763,0.423690931,0.768056369,-0.97966385,0.464239053
0.239193103,0.185146021,0.400488393,0.766780674,-0.789684774,-0.37563278,0.322531198
0.417258893,0.325500642,0.103941374,-0.212415399,-1.404537756,0.782698179,1.382754026
1.12054496,-0.192531629,-1.146189562,1.305936842,0.673726116,-0.219610393,0.026868405
0.413833156,-0.099610272,0.342980996,0.198858439,-2.244868032,-0.000280839,-0.969627818
2.756456882,0.632449224,1.608063286,-0.391033392,1.127316524,-1.041475685,1.297325559
0.715320318,1.187921438,1.590852055,-0.262044597,-0.900424463,-1.469716919,-1.687404894
0.237216275,-0.208599745,0.278403966,2.01592634,-0.288272354,-1.170510903,0.514836591
-1.798044513,1.031751092,-0.560985315,1.191763356,0.063394442,0.552189667,0.33974398
0.642813874,-0.609396717,0.526315417,0.232476755,2.00853204,0.233262484,0.249427545
1.718792114,1.19772392,-0.948224213,0.260124349,0.28273743,-1.632152387,-0.45187796
-0.163702004,0.861924419,0.464196219,-0.376013315,-0.713932253,-0.605917851,1.821891084
0.673954275,-0.03808763,-1.5512786,1.229282027,0.21354103,-0.523858969,-0.698340966
0.005755261,-0.203009501,0.064624323,0.603227092,2.083489951,0.582335578,-0.202711817
0.327530996,-0.304559249,-0.642371905,-1.218681401,0.684230922,-0.841921076,-1.514063074
1.738637871,1.622494897,-0.292819061,0.019689797,0.936282682,-0.557777812,0.023427135
1.677074236,-0.562585023,-0.058355762,1.460603278,-0.156458611,-1.288102539,-0.473118647
-1.395766537,0.188781364,0.90909922,0.168654116,2.224322301,1.17292436,-0.427359737
-0.164213374,-0.468770011,-1.183249981,-1.424564007,-0.043108174,0.714920798,-0.337027328
-1.542464043,0.356316433,1.565079603,1.768318838,0.16274596,-1.015209653,-0.255395057
-0.976975845,1.270882361,-1.184933629,1.320475193,-0.232198795,0.896278072,0.089056701
-0.710242306,-0.268927777,2.073099935,0.586233665,1.448040347,1.238574105,-0.046543184
-1.08155247,-1.854956159,1.375346908,0.028390141,1.347597901,1.180142186,2.03030882
